mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid,WKT
740,2,20700,11379459,-1.2371386,-78.6239693,-86,1.67995E+12,4.1,2.3283648,165.7009,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2372559,-78.6239707,-89,1.67995E+12,3.9,2.1710608,157.53673,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2373412,-78.6238445,-88,1.67995E+12,3.9,2.6781485,137.96046,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2374624,-78.6237291,-89,1.67995E+12,4,3.1396,139.81482,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2375802,-78.6236184,-88,1.67995E+12,4.2,3.126207,140.9498,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2377347,-78.6234998,-87,1.67995E+12,3.6,2.5781207,143.41307,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2378324,-78.623423,-87,1.67995E+12,4,2.8689513,139.82176,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2379354,-78.6233541,-87,1.67995E+12,4.5,2.94681,143.21025,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2380167,-78.6233046,-87,1.67995E+12,4,2.4872267,142.6458,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2381922,-78.6232524,-81,1.67995E+12,3.8,1.8620714,165.86002,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2382973,-78.623148,-84,1.67995E+12,5,1.5727565,154.86041,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2383326,-78.6230579,-82,1.67995E+12,4.3,1.396262,138.08806,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2384255,-78.6230208,-81,1.67995E+12,4.6,1.0092343,175.10327,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.238516,-78.6230718,-81,1.67995E+12,5.1,1.3278822,213.23189,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2386338,-78.623235,-84,1.67995E+12,4.1,1.9979367,229.96979,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2387171,-78.6233222,-85,1.67995E+12,3.8,2.3161185,230.26428,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2388242,-78.6234412,-88,1.67995E+12,3.7,2.6370313,229.26779,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2389444,-78.623534,-86,1.67995E+12,3.9,2.8650787,225.10756,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.239049,-78.6235993,-88,1.67995E+12,3.7,2.9593778,221.66487,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2391357,-78.6236639,-87,1.67995E+12,3.6,2.7639554,220.55106,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2392194,-78.623707,-91,1.67995E+12,3.7,2.3392022,228.70331,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2391101,-78.6238229,-91,1.67995E+12,4,1.8985772,314.66852,LTE,0,,20700,50,,,,
740,2,20700,11388162,-1.239042,-78.6238843,-100,1.67995E+12,4.3,1.8767594,316.82687,LTE,0,,20700,-1,,,,
740,2,20700,11388161,-1.23902,-78.6239178,-95,1.67995E+12,4.1,1.4593612,334.15076,LTE,0,,20700,81,,,,
740,2,20700,11388161,-1.2388633,-78.6240337,-86,1.67995E+12,3.6,2.0598066,331.21588,LTE,0,,20700,81,,,,
740,2,20700,11388161,-1.2387708,-78.6240829,-95,1.67995E+12,3.9,2.3074653,324.78702,LTE,0,,20700,81,,,,
740,2,20700,11379459,-1.2386646,-78.6241555,-98,1.67995E+12,4.1,2.5135198,322.0523,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.238573,-78.6242342,-92,1.67995E+12,4,2.605411,325.5909,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2384785,-78.6242518,-95,1.67995E+12,4.2,2.274845,335.63855,LTE,0,,20700,50,,,,
740,2,20700,11388161,-1.2384675,-78.6242984,-90,1.67995E+12,3.9,1.3881783,293.67426,LTE,0,,20700,-1,,,,
740,2,20700,11388161,-1.2384235,-78.6244123,-88,1.67995E+12,3.3,1.039169,324.5264,LTE,0,,20700,-1,,,,
740,2,20700,11379459,-1.2383585,-78.6244524,-95,1.67995E+12,4.6,1.3954926,321.63544,LTE,0,,20700,-1,,,,
740,2,20700,11379459,-1.238199,-78.6245253,-97,1.67995E+12,4,2.5079484,326.44043,LTE,0,,20700,-1,,,,
740,2,20700,11379459,-1.2380954,-78.6246142,-98,1.67995E+12,3.9,2.8072016,311.61508,LTE,0,,20700,-1,,,,
740,2,20700,11388161,-1.2379846,-78.6246844,-95,1.67995E+12,3.8,1.6593074,324.2456,LTE,0,,20700,81,,,,
740,2,20700,11388161,-1.2378849,-78.6247347,-98,1.67995E+12,3.7,1.895427,318.8128,LTE,0,,20700,-1,,,,
740,2,20700,11379459,-1.2377751,-78.6248015,-97,1.67995E+12,3.7,2.5506687,323.51398,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.237664,-78.6248939,-101,1.67995E+12,3.7,3.0499504,326.48398,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2375409,-78.6249843,-102,1.67995E+12,3.6,3.1188643,313.95212,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2374608,-78.6250813,-99,1.67995E+12,3.7,2.9606533,320.0414,LTE,0,,20700,50,,,,
740,2,20700,11381762,-1.2373637,-78.6251511,-98,1.67995E+12,3.6,2.9042065,331.82632,LTE,0,,20700,43,,,,
740,2,20700,11381762,-1.2372493,-78.6252344,-100,1.67995E+12,3.7,3.0023165,327.82486,LTE,0,,20700,43,,,,
740,2,20700,11381762,-1.2371508,-78.6252907,-98,1.67995E+12,3.9,2.745612,319.9461,LTE,0,,20700,43,,,,
740,2,20700,11381762,-1.2370643,-78.6253652,-96,1.67995E+12,3.6,1.3168515,327.5211,LTE,0,,20700,43,,,,
740,2,20700,11381762,-1.2369295,-78.6254641,-95,1.67995E+12,3.2,2.040193,319.18674,LTE,0,,20700,43,,,,
740,2,20700,11381762,-1.2368217,-78.6255434,-91,1.67995E+12,3.8,2.6137645,330.13895,LTE,0,,20700,43,,,,
740,2,20700,11381762,-1.2367125,-78.6256415,-89,1.67995E+12,3.7,2.8955014,323.1368,LTE,0,,20700,43,,,,
740,2,20700,11381762,-1.2366137,-78.6257367,-88,1.67995E+12,3.7,3.0256174,319.557,LTE,0,,20700,43,,,,
740,2,20700,11381762,-1.2365019,-78.6258086,-87,1.67995E+12,3.7,3.1506598,317.44272,LTE,0,,20700,43,,,,
740,2,20700,11381762,-1.2363673,-78.6258882,-87,1.67995E+12,3.9,3.559701,322.94745,LTE,0,,20700,43,,,,
740,2,20700,11381762,-1.2362342,-78.6259644,-84,1.67995E+12,4.6,3.6502042,327.41003,LTE,0,,20700,43,,,,
740,2,20700,11381762,-1.2360911,-78.6260957,-77,1.67995E+12,3.7,2.5424957,322.7096,LTE,0,,20700,43,,,,
740,2,20700,11381762,-1.2358927,-78.6262623,-83,1.67995E+12,4,2.8621106,321.6877,LTE,0,,20700,43,,,,
740,2,20700,11381762,-1.2357708,-78.6263171,-85,1.67995E+12,3.7,2.6203244,331.41122,LTE,0,,20700,43,,,,
740,2,20700,11381762,-1.2356773,-78.6263811,-84,1.67995E+12,4.1,2.7040102,325.3975,LTE,0,,20700,43,,,,
740,2,20700,11381762,-1.235587,-78.6264573,-88,1.67995E+12,3.1,0.84425706,316.2027,LTE,0,,20700,43,,,,
740,2,20700,11381762,-1.2355054,-78.6265301,-84,1.67995E+12,3.6,1.8390013,323.68405,LTE,0,,20700,43,,,,
740,2,20700,11381762,-1.2353906,-78.6266244,-75,1.67995E+12,3.8,2.2036872,325.45874,LTE,0,,20700,43,,,,
740,2,20700,11381762,-1.2352969,-78.6266772,-81,1.67995E+12,3.7,2.1497698,326.59613,LTE,0,,20700,43,,,,
740,2,20700,11381761,-1.2351875,-78.6267669,-86,1.67995E+12,3.7,2.6799388,320.81702,LTE,0,,20700,42,,,,
740,2,20700,11381761,-1.2350748,-78.6268475,-79,1.67995E+12,3.7,2.9449565,327.24228,LTE,0,,20700,42,,,,
740,2,20700,11381761,-1.2350162,-78.6269181,-75,1.67995E+12,3.7,1.3860191,264.1862,LTE,0,,20700,42,,,,
740,2,20700,11381761,-1.2350867,-78.6270507,-77,1.67995E+12,3.1,1.7688203,238.83472,LTE,0,,20700,42,,,,
740,2,20700,11381761,-1.2351713,-78.6271807,-75,1.67995E+12,3.8,2.5443745,229.77832,LTE,0,,20700,42,,,,
740,2,20700,11381761,-1.2353019,-78.6272921,-80,1.67995E+12,3.7,2.07457,215.69756,LTE,0,,20700,42,,,,
740,2,20700,11381761,-1.2354616,-78.6272415,-84,1.67995E+12,3.8,2.0212185,152.09201,LTE,0,,20700,42,,,,
740,2,20700,11381763,-1.2355573,-78.6271439,-73,1.67995E+12,3.8,2.494188,140.11488,LTE,0,,20700,44,,,,
